size,instance,algorithm,time_taken,steps,computational_cost,best_energy,time_to_best,min_energy,median_energy,success_probability,standard_deviation,residual_energy
10,16,Tabu Search,0.12399705200004973,180.0,40500.0,1365.0,0.02411053788889856,1365.0,1366.0,0.4,4.223742416388575,0.0
10,17,QAP Objective,2.791399992929655e-05,1.0,5.0,1974.0,0.0,1974.0,1974.0,0.0,0.0,398.0
10,17,Simulated Annealing,0.2627985389999594,4500.0,22500.0,1576.0,0.013630484222797895,1576.0,1611.0,0.4,26.72377218882095,0.0
10,17,Genetic Algorithm,0.3861291319999509,120.0,24200.0,1587.0,0.15445165279998038,1587.0,1617.0,0.0,27.21323207559146,11.0
10,17,Tabu Search,0.14009142700024313,180.0,40500.0,1576.0,0.037046399584508734,1576.0,1576.0,0.6,2.939387691339814,0.0
10,18,QAP Objective,2.7954000415775226e-05,1.0,5.0,1903.0,0.0,1903.0,1903.0,0.0,0.0,338.0
10,18,Simulated Annealing,0.2633241509997788,4500.0,22500.0,1601.0,0.007911427825593354,1601.0,1625.0,0.0,15.025311976794358,36.0
10,18,Genetic Algorithm,0.38866064400008327,120.0,24200.0,1588.0,0.08032319976001721,1588.0,1628.0,0.0,36.14194239384486,23.0
10,18,Tabu Search,0.12391814800002976,180.0,40500.0,1565.0,0.024232882275561377,1565.0,1588.0,0.4,12.512393855693642,0.0
10,19,QAP Objective,2.8206000024511013e-05,1.0,5.0,1760.0,0.0,1760.0,1760.0,0.0,0.0,434.0
10,19,Simulated Annealing,0.26731049800037,4500.0,22500.0,1378.0,0.006581778484097999,1378.0,1395.0,0.0,31.68343415730056,52.0
10,19,Genetic Algorithm,0.3862873129996842,120.0,24200.0,1374.0,0.07081934071660877,1374.0,1386.0,0.0,23.891421054428722,48.0
10,19,Tabu Search,0.14295009999977992,180.0,40500.0,1326.0,0.03939069422216158,1326.0,1339.0,0.2,16.378034070058593,0.0
10,20,QAP Objective,2.7872999908140628e-05,1.0,5.0,1675.0,0.0,1675.0,1675.0,0.0,0.0,331.0
10,20,Simulated Annealing,0.26358340700016925,4500.0,22500.0,1413.0,0.0074037650321825315,1413.0,1436.0,0.0,18.423897524682445,69.0
10,20,Genetic Algorithm,0.385921726000106,120.0,24200.0,1344.0,0.0681795049266854,1344.0,1428.0,0.2,56.21885804603292,0.0
10,20,Tabu Search,0.12818092099996647,180.0,40500.0,1347.0,0.027345263146659513,1347.0,1347.0,0.0,22.676860452893386,3.0
10,21,QAP Objective,2.7725000109057873e-05,1.0,5.0,1802.0,0.0,1802.0,1802.0,0.0,0.0,327.0
10,21,Simulated Annealing,0.2628739699998732,4500.0,22500.0,1475.0,0.009907427847106333,1475.0,1484.0,0.2,21.664717861075413,0.0
10,21,Genetic Algorithm,0.3841775289997713,120.0,24200.0,1476.0,0.09092201519661254,1476.0,1513.0,0.0,32.289936512789865,1.0
10,21,Tabu Search,0.13665865500024665,180.0,40500.0,1475.0,0.03416466375006166,1475.0,1475.0,0.6,8.97552226892675,0.0
10,22,QAP Objective,2.9184000140958233e-05,1.0,5.0,1609.0,0.0,1609.0,1609.0,0.0,0.0,368.0
10,22,Simulated Annealing,0.2627332049996767,4500.0,22500.0,1295.0,0.007111312081991249,1295.0,1368.0,0.0,35.7625502446344,54.0
10,22,Genetic Algorithm,0.3861441809999633,120.0,24200.0,1241.0,0.10618964977498992,1241.0,1308.0,0.2,39.050736228655154,0.0
10,22,Tabu Search,0.11143613900003402,180.0,40500.0,1241.0,0.01560105946000476,1241.0,1241.0,0.6,26.45448922205832,0.0
10,23,QAP Objective,2.8224000288901152e-05,1.0,5.0,2070.0,0.0,2070.0,2070.0,0.0,0.0,473.0
10,23,Simulated Annealing,0.2737256840000555,4500.0,22500.0,1602.0,0.009756799936357533,1602.0,1641.0,0.0,41.19417434540957,5.0
10,23,Genetic Algorithm,0.3929506559998117,120.0,24200.0,1613.0,0.089723733119957,1613.0,1618.0,0.0,40.20248748522907,16.0
10,23,Tabu Search,0.1216535900002782,180.0,40500.0,1597.0,0.022979011444496992,1597.0,1597.0,0.8,27.6,0.0
10,24,QAP Objective,2.8698999813059345e-05,1.0,5.0,1897.0,0.0,1897.0,1897.0,0.0,0.0,249.0
10,24,Simulated Annealing,0.2639940529998057,4500.0,22500.0,1664.0,0.007931554659016385,1664.0,1696.0,0.0,16.977632343763368,16.0
10,24,Genetic Algorithm,0.38491638200002853,120.0,24200.0,1664.0,0.10136131392667419,1664.0,1688.0,0.0,16.55294535724685,16.0
10,24,Tabu Search,0.11919199500016475,180.0,40500.0,1648.0,0.020659945800028556,1648.0,1664.0,0.2,10.777754868245983,0.0
10,25,QAP Objective,2.8032000045641325e-05,1.0,5.0,1808.0,0.0,1808.0,1808.0,0.0,0.0,391.0
10,25,Simulated Annealing,0.26256674300020677,4500.0,22500.0,1448.0,0.00463284430982587,1448.0,1476.0,0.0,46.40948178982394,31.0
10,25,Genetic Algorithm,0.38889324299998407,120.0,24200.0,1417.0,0.05185243239999787,1417.0,1507.0,0.2,47.85143676003888,0.0
10,25,Tabu Search,0.14402754699995057,180.0,40500.0,1429.0,0.03984762133665299,1429.0,1429.0,0.0,18.616122045152153,12.0
10,26,QAP Objective,2.870700018320349e-05,1.0,5.0,1420.0,0.0,1420.0,1420.0,0.0,0.0,265.0
10,26,Simulated Annealing,0.26451825699996334,4500.0,22500.0,1166.0,0.008652686095643245,1166.0,1224.0,0.0,25.79457307264456,11.0
10,26,Genetic Algorithm,0.40464502100030586,120.0,24200.0,1183.0,0.08699867951506576,1183.0,1203.0,0.0,21.88515478583599,28.0
10,26,Tabu Search,0.1633487160002005,180.0,40500.0,1155.0,0.05699055202673662,1155.0,1155.0,0.8,7.2,0.0
10,27,QAP Objective,2.9154000003472902e-05,1.0,5.0,1978.0,0.0,1978.0,1978.0,0.0,0.0,455.0
10,27,Simulated Annealing,0.26897805199996583,4500.0,22500.0,1539.0,0.01190676176853182,1539.0,1605.0,0.0,38.66988492354225,16.0
10,27,Genetic Algorithm,0.39192721400013397,120.0,24200.0,1574.0,0.058135870076686545,1574.0,1616.0,0.0,20.915066339842195,51.0
10,27,Tabu Search,0.13092811699971207,180.0,40500.0,1523.0,0.02822228299771571,1523.0,1523.0,0.6,27.578252301405904,0.0
10,28,QAP Objective,2.867500006686896e-05,1.0,5.0,1841.0,0.0,1841.0,1841.0,0.0,0.0,466.0
10,28,Simulated Annealing,0.2643663240000933,4500.0,22500.0,1399.0,0.008095484321602857,1399.0,1453.0,0.0,38.06310549600492,24.0
10,28,Genetic Algorithm,0.3906013499999972,120.0,24200.0,1427.0,0.06444922274999954,1427.0,1447.0,0.0,40.84311447478021,52.0
10,28,Tabu Search,0.12079500300023938,180.0,40500.0,1375.0,0.020937800520041492,1375.0,1407.0,0.4,32.239106687375816,0.0
10,29,QAP Objective,3.518900030030636e-05,1.0,5.0,1959.0,0.0,1959.0,1959.0,0.0,0.0,275.0
